pm2_5,pm10,co,no2,so2,o3,temp,humidity,pressure,wind_speed,aqi_label
11.83,46.34,113.18,0.73,1.13,79.29,24.05,94,1010,2.06,fair
16.19,40.5,135.15,0.52,0.15,24.17,22.52,94,1010,1.45,fair
0.62,1.83,99.08,0.61,0.41,42.7,22.82,94,1012,0.51,good
0.62,1.83,99.08,0.61,0.41,42.7,22.94,94,1012,0.51,good
0.62,1.83,99.08,0.61,0.41,42.7,23.02,94,1012,0.51,good
2.25,3.58,115.6,1.32,0.39,20.85,26.03,81,1010,1.78,good
0.5,0.69,79.54,0.06,0.02,28.49,26.92,84,1011,1.77,good
0.95,1.13,70.96,0.11,0.02,3.38,21.72,96,1012,1.19,good
1.02,2.06,128.85,1.12,1.1,90.12,15.73,55,1014,4.12,fair
6.94,7.61,135.16,1.48,6.31,77.31,14.3,69,1015,2.57,fair
2.55,3.33,134.45,0.71,1.13,101.76,15.48,58,1014,5.21,moderate
19.9,21.12,185.0,0.69,3.1,52.69,16.77,96,1015,4.02,fair
14.99,15.95,161.21,0.44,1.62,53.27,17.77,96,1015,3.58,fair
17.01,18.15,170.83,0.54,2.42,53.18,14.24,96,1015,2.06,fair
4.69,21.0,115.94,0.05,0.19,30.35,29.8,63,1012,5.66,fair
4.69,21.0,115.94,0.05,0.19,30.35,29.52,63,1012,5.66,fair
4.79,21.74,116.22,0.06,0.2,30.51,30.3,63,1012,5.66,fair
9.79,32.9,131.23,0.73,1.64,77.27,22.06,68,1010,2.57,fair
12.15,31.85,151.72,0.79,0.42,53.53,22.76,44,1010,1.23,fair
10.0,29.41,142.31,0.65,0.82,69.83,23.93,41,1010,0.31,fair
2.03,2.1,93.15,0.4,0.06,2.63,24.17,95,1011,1.83,good
1.13,1.14,80.05,0.2,0.01,3.68,22.48,99,1011,0.73,good
1.0,1.03,95.75,0.3,0.03,3.49,22.68,99,1010,1.17,good
28.24,30.97,410.21,41.03,17.88,27.73,20.07,90,1011,4.02,moderate
28.24,30.97,410.21,41.03,17.88,27.73,20.27,89,1012,4.02,moderate
30.06,32.53,429.83,44.94,17.09,26.06,19.63,87,1012,2.06,moderate
19.91,21.31,180.32,2.31,5.05,50.41,20.25,82,1017,1.54,fair
15.3,19.76,438.73,9.62,2.34,29.81,24.69,88,1012,0.0,fair
12.75,17.9,346.88,6.9,0.44,24.52,23.9,88,1012,1.03,fair
10.48,11.73,139.97,2.85,0.77,85.62,14.94,49,1019,2.06,fair
6.66,9.4,141.8,1.65,1.73,127.0,17.06,31,1017,4.63,moderate
8.97,10.66,161.2,4.24,1.81,100.5,15.51,47,1018,1.03,moderate
0.84,2.66,102.59,0.14,0.1,55.48,23.57,85,1013,1.21,good
0.84,2.66,102.59,0.14,0.1,55.48,23.28,85,1013,1.19,good
3.88,5.12,169.83,0.81,0.22,69.28,24.44,84,1012,4.98,fair
9.68,11.56,142.24,1.88,1.62,93.19,13.54,56,1016,6.17,fair
9.1,11.94,144.71,1.77,0.64,59.96,13.88,44,1015,3.09,good
8.1,9.88,139.07,2.16,0.8,81.79,12.25,59,1016,2.5,fair
