temp,humidity,wind,pressure,pm2_5,pm10,co,no2,o3,so2,nh3,aqi
33.02,55,5.14,1007,60.09,63.43,677.2,1.49,131.96,1.78,1.76,4
9.59,89,3.09,1025,12.45,14.44,139.75,5.0,93.39,2.6,4.87,2
10.87,76,6.69,1022,23.41,34.3,154.77,2.12,121.03,2.46,1.71,3
11.97,82,3.44,1022,21.13,27.26,147.46,1.54,119.14,1.88,3.07,3
20.95,22,0.45,1012,8.19,25.01,114.19,1.97,102.83,1.94,5.94,3
20.1,56,2.57,1011,21.67,53.82,128.51,5.73,94.55,4.14,27.85,3
19.61,64,2.06,1013,19.4,25.23,134.24,7.73,89.34,6.08,3.91,2
8.88,81,4.63,1027,9.33,10.83,139.43,4.75,86.96,1.03,2.39,2
34.01,62,5.66,1007,50.71,105.21,184.88,1.43,99.88,7.7,0.33,4
39.03,18,2.57,1003,50.87,121.78,205.33,1.32,138.22,4.19,11.47,4
33.64,35,5.36,1008,29.35,35.74,231.13,2.88,103.01,3.53,4.46,3
26.95,36,5.14,1011,40.73,153.5,131.79,0.56,134.45,2.56,0.0,4
22.9,59,1.79,1012,38.49,161.15,187.27,2.63,112.83,7.36,2.54,4
21.85,46,6.17,1012,32.41,138.01,168.87,6.03,121.02,20.07,0.9,4
19.84,14,8.75,1015,4.92,10.46,127.96,2.64,114.29,3.6,2.3,3
25.08,38,2.06,1013,5.18,17.49,108.83,0.65,115.74,0.78,1.32,3
20.77,13,2.45,1013,14.58,19.55,251.54,12.85,87.36,1.93,15.24,2
5.88,81,1.54,1028,0.5,0.8,132.33,0.09,110.05,0.04,0.0,3
4.97,70,2.82,1027,0.5,0.8,132.33,0.09,110.05,0.04,0.0,3
5.06,78,2.87,1028,0.5,0.8,132.33,0.09,110.05,0.04,0.0,3
13.71,48,2.57,1020,3.52,5.28,139.16,0.65,123.22,0.74,2.46,3
15.41,75,2.06,1018,4.55,6.09,170.98,4.32,86.7,1.17,1.94,2
15.39,38,2.57,1019,3.18,4.56,133.03,0.78,127.8,1.03,2.12,3
12.7,72,6.69,1022,9.59,11.16,147.18,2.51,90.85,0.92,17.1,2
25.53,78,4.63,1013,1.06,2.33,104.98,0.26,54.1,0.14,0.02,1
23.13,95,4.12,1013,1.15,2.46,106.84,0.24,54.03,0.13,0.03,1
23.3,95,4.12,1013,1.15,2.46,106.84,0.24,54.03,0.13,0.03,1
19.05,20,2.06,1013,8.87,20.46,125.78,4.29,109.75,3.3,3.47,3
20.23,22,1.33,1012,7.16,19.15,125.88,3.48,118.65,2.78,3.0,3
19.26,36,1.86,1012,11.42,25.44,139.45,8.73,102.51,4.52,5.3,3
17.91,59,6.69,1013,12.95,18.48,169.61,13.01,133.63,10.35,0.68,3
17.65,63,6.69,1014,12.16,18.55,162.38,9.87,134.4,9.17,0.61,3
21.05,34,6.97,1011,10.64,14.76,168.74,6.01,139.66,4.25,0.78,3
18.93,72,1.54,1014,0.5,0.6,79.09,0.29,33.67,0.07,0.24,1
22.1,69,1.99,1011,3.65,9.44,154.81,1.18,23.76,0.26,2.57,1
26.23,89,3.6,1011,3.35,4.77,137.96,0.64,27.48,0.27,0.7,1
21.11,51,3.37,1016,4.01,4.1,106.89,0.77,108.77,0.45,3.57,3
22.51,49,3.0,1016,1.31,1.61,85.57,0.02,71.66,0.2,0.84,2
22.28,52,1.12,1015,1.18,1.56,99.36,0.16,86.15,0.22,0.36,2
39.35,26,3.82,1005,14.72,17.21,192.85,1.0,93.52,0.93,1.2,2
38.27,27,3.51,1005,7.04,9.95,138.71,0.33,67.44,0.36,0.35,2
37.49,34,4.38,1005,6.72,8.42,135.15,0.32,65.74,0.13,0.55,2
28.84,73,3.55,1009,0.5,1.51,70.35,0.01,7.93,0.03,0.0,1
31.0,58,5.14,1012,3.55,8.66,75.44,0.04,30.63,0.18,0.03,1
28.5,67,2.02,1011,3.03,7.83,75.2,0.04,29.3,0.17,0.04,1
28.2,72,4.47,1011,4.31,9.44,78.61,0.04,31.23,0.18,0.03,1
24.82,15,5.54,1014,25.19,29.35,232.77,4.75,137.9,4.34,1.19,3
13.08,57,3.95,1018,14.47,19.9,187.41,1.18,141.5,6.37,1.98,4
20.59,30,5.37,1015,25.71,29.99,231.68,3.32,130.41,1.65,0.48,3
24.76,22,5.14,1015,20.56,24.58,257.75,21.13,98.22,3.48,2.47,2
20.95,32,4.12,1016,6.93,13.79,164.54,0.79,140.88,1.73,1.03,4
25.92,14,3.09,1015,25.32,29.38,260.39,17.31,98.91,3.06,1.22,3
27.05,29,3.32,1012,72.89,338.91,171.0,0.97,146.27,2.16,0.0,5
26.64,30,1.78,1012,81.26,369.08,173.87,0.78,154.37,2.61,0.0,5
27.21,25,2.2,1012,81.26,369.08,173.87,0.78,154.37,2.61,0.0,5
26.01,83,2.57,1012,2.98,5.54,105.43,0.25,60.24,0.3,0.0,2
26.01,83,2.57,1012,2.98,5.54,105.43,0.25,60.24,0.3,0.0,2
17.28,68,3.0,1017,6.44,6.63,100.57,1.58,78.72,0.67,2.74,2
23.33,43,2.0,1014,2.84,4.02,135.06,1.78,113.85,1.21,1.45,3
5.05,93,5.0,1007,2.29,8.92,128.02,0.44,74.01,0.14,0.24,2
38.33,36,3.09,1004,10.67,11.64,343.53,3.09,53.7,0.67,4.28,2
36.23,35,1.37,1005,17.58,18.87,347.33,4.0,59.93,0.7,5.57,2
37.93,35,1.58,1006,26.62,28.77,336.07,2.74,67.69,0.76,3.51,3
22.57,52,1.31,1012,12.68,17.26,144.74,10.86,84.5,3.45,7.44,2
19.3,52,1.38,1012,16.55,22.13,209.94,4.97,98.19,10.84,10.42,2
22.96,58,1.93,1012,16.35,21.27,161.84,15.88,73.97,3.94,12.05,2
23.39,82,3.8,1011,1.56,3.13,116.4,0.63,35.61,0.5,0.06,1
22.53,100,3.19,1012,1.38,3.14,117.41,0.46,33.98,0.36,0.0,1
28.38,83,2.55,1008,0.5,0.54,94.64,1.17,17.17,0.78,0.0,1
28.37,83,1.79,1008,0.5,0.54,94.64,1.17,17.17,0.78,0.0,1
